,Charlton,Derby,Coventry,Everton,Liverpool,Man City,Man Utd,Arsenal,Nottm Forest,Aston Villa,QPR,Crystal Palace,Sheff Wed,Norwich,Chelsea,Tottenham,Luton,Millwall,Wimbledon FC,Southampton
1989-08-19,1,1,3,0,3,0,3,0,1,1,3,0,0,3,0,0,0,0,0,0
1989-08-22,2,1,3,3,3,0,4,3,1,1,4,1,0,3,1,0,3,1,0,0
1989-08-23,2,2,3,3,4,0,4,3,2,2,4,1,0,4,1,0,3,1,1,3
1989-08-26,3,5,6,6,5,1,4,4,2,3,5,1,0,5,4,1,4,4,2,3
1989-08-29,6,5,6,6,5,1,4,4,2,3,5,1,0,5,4,1,4,5,3,6
1989-08-30,6,5,9,7,5,1,4,4,5,3,6,1,1,8,4,1,5,5,3,6
1989-09-09,6,5,9,10,8,4,4,7,6,6,6,4,1,9,5,1,8,8,3,7
1989-09-12,6,5,9,10,11,4,4,7,6,6,6,4,1,9,5,1,8,8,3,7
1989-09-16,6,8,12,13,12,4,7,10,6,6,6,5,4,10,8,1,8,8,6,8
1989-09-23,6,8,12,13,15,7,7,13,6,6,9,8,4,11,11,2,9,11,7,11
1989-09-30,6,8,13,13,15,10,7,14,9,9,9,11,5,14,12,5,9,11,8,12
1989-10-14,6,11,13,16,18,10,8,17,12,12,9,11,6,17,12,8,9,11,8,15
1989-10-18,6,11,13,16,18,10,8,17,12,12,9,11,6,17,12,11,9,11,8,15
1989-10-21,9,11,13,19,18,10,11,17,15,12,9,14,6,17,15,14,12,11,8,18
1989-10-22,9,11,13,19,18,10,11,17,15,15,9,14,6,17,15,14,12,11,8,18
1989-10-28,10,12,14,20,18,11,14,18,16,18,10,14,6,18,16,14,13,12,11,18
1989-10-29,10,12,14,20,21,11,14,18,16,18,10,14,6,18,16,14,13,12,11,18
1989-11-04,13,12,17,20,21,14,14,21,16,18,11,14,9,18,19,15,16,12,12,19
1989-11-05,13,12,17,20,21,14,14,21,16,21,11,14,9,18,19,15,16,12,12,19
1989-11-11,13,15,20,20,21,14,14,24,16,21,14,15,12,21,22,15,17,12,15,19
1989-11-12,13,15,20,20,21,14,17,24,16,21,14,15,12,21,22,15,17,12,15,19
1989-11-18,14,18,20,21,21,14,20,27,19,24,14,15,12,22,23,18,17,12,16,20
1989-11-19,14,18,20,21,24,14,20,27,19,24,14,15,12,22,23,18,17,12,16,20
1989-11-25,15,21,23,21,24,15,21,27,22,27,15,16,13,22,24,18,17,13,16,23
1989-11-26,15,21,23,21,27,15,21,27,22,27,15,16,13,22,24,18,17,13,16,23
1989-11-29,15,21,23,21,27,15,21,27,22,27,15,16,16,22,24,18,17,13,16,23
1989-12-02,15,24,23,24,30,15,21,27,22,30,18,16,16,25,24,19,18,14,19,24
1989-12-03,15,24,23,24,30,15,21,30,22,30,18,16,16,25,24,19,18,14,19,24
1989-12-09,16,25,23,24,31,15,21,33,22,31,21,19,17,28,24,22,19,15,20,27
1989-12-16,16,25,26,24,34,15,21,36,22,31,21,22,20,31,24,25,19,18,20,27
1989-12-17,16,25,26,25,34,16,21,36,25,31,21,22,20,31,24,25,19,18,20,27
1989-12-23,16,25,26,25,35,16,22,36,25,31,21,22,20,31,24,25,19,18,20,27
1989-12-26,16,25,27,28,38,19,22,36,26,34,22,23,20,31,25,28,20,18,23,30
1989-12-30,16,28,27,28,41,22,23,36,29,37,25,26,21,31,28,28,20,18,24,31
1990-01-01,16,29,28,31,42,22,24,39,30,40,26,26,24,31,28,29,20,19,27,34
1990-01-13,16,29,28,31,42,22,24,39,30,40,26,26,24,31,28,29,20,19,30,34
1990-01-14,16,29,28,31,42,23,24,39,30,40,26,26,25,31,29,30,20,19,30,34
1990-01-15,16,29,28,32,42,23,24,39,30,40,26,26,25,31,29,30,20,19,30,35
1990-01-16,16,29,28,32,42,23,24,39,30,40,29,26,25,31,29,30,20,19,30,35
1990-01-17,16,29,28,32,42,23,24,39,33,40,29,26,25,31,29,30,20,19,30,35
1990-01-18,16,32,28,32,42,23,24,39,33,40,29,26,25,31,29,30,20,19,30,35
1990-01-19,16,32,28,32,43,23,24,39,33,40,29,26,25,31,29,30,21,19,30,35
1990-01-20,16,32,31,35,46,26,24,42,36,43,30,26,25,31,32,30,22,20,31,35
1990-01-21,16,32,31,35,46,26,24,42,36,46,30,26,25,34,32,30,22,20,31,35
1990-02-03,16,32,31,35,46,26,24,42,36,46,30,26,26,34,32,30,22,21,31,35
1990-02-04,16,32,31,35,46,26,24,42,39,46,30,26,26,34,32,33,22,21,31,35
1990-02-05,16,32,31,35,46,27,25,42,39,46,30,26,26,34,32,33,22,21,31,35
1990-02-06,16,32,31,35,49,27,25,42,39,46,30,26,26,34,32,33,22,21,31,35
1990-02-07,16,32,34,35,49,27,25,42,39,46,30,26,26,34,32,33,22,21,31,35
1990-02-10,16,35,34,38,50,28,28,42,39,49,30,29,26,35,32,36,22,21,32,35
1990-02-14,16,35,34,38,50,28,28,42,39,49,30,29,26,35,32,36,25,21,32,35
1990-02-17,16,35,37,38,50,28,28,42,40,49,30,29,29,35,33,36,25,21,32,35
1990-02-19,19,35,37,38,50,28,28,42,40,49,30,29,29,35,33,36,25,21,32,35
1990-02-21,19,35,37,38,50,28,28,42,40,52,30,29,29,35,33,36,25,21,32,35
1990-02-24,22,38,37,38,50,28,28,42,40,52,33,30,30,35,36,36,26,21,35,36
1990-02-27,23,38,37,38,50,28,28,43,40,52,33,30,30,35,36,36,26,21,35,39
1990-03-03,23,38,37,38,53,28,31,43,43,52,36,33,33,38,39,36,26,21,38,39
1990-03-04,23,38,40,38,53,28,31,43,43,52,36,33,33,38,39,36,26,21,38,39
1990-03-07,23,38,40,38,53,28,31,46,43,52,36,33,33,38,39,36,29,21,38,39
1990-03-10,23,38,43,38,53,29,31,47,43,55,36,33,33,39,40,39,29,21,38,42
1990-03-14,23,38,44,39,53,29,32,47,43,55,36,33,33,40,40,39,29,21,38,42
1990-03-17,24,38,44,42,53,30,32,47,44,58,39,33,36,41,43,39,30,22,39,43
1990-03-18,24,38,44,42,56,30,32,47,44,58,39,33,36,41,43,39,30,22,39,43
1990-03-20,24,39,44,42,56,30,32,47,44,59,40,34,36,41,43,39,30,22,39,43
1990-03-21,24,39,44,45,56,31,32,47,44,59,40,34,39,41,44,42,30,22,39,43
1990-03-24,27,39,44,48,56,31,35,50,44,59,43,37,40,41,44,42,33,22,40,43
1990-03-31,30,40,44,48,59,31,38,53,44,59,43,40,40,44,45,45,33,22,43,43
1990-04-01,30,40,44,48,59,34,38,53,44,59,43,40,40,44,45,45,33,22,43,43
1990-04-03,30,40,44,48,62,34,38,53,44,59,46,40,40,44,45,45,33,22,43,43
1990-04-04,30,40,44,51,62,34,38,53,44,59,46,40,40,47,45,45,33,22,43,43
1990-04-07,30,40,47,54,62,35,38,53,44,59,46,40,40,47,48,48,33,23,43,46
1990-04-11,30,40,47,54,65,38,38,53,44,62,46,40,40,47,48,48,33,23,43,46
1990-04-14,30,43,47,55,66,41,41,54,45,65,46,41,40,48,48,51,34,23,44,49
1990-04-16,30,43,48,58,66,44,41,54,48,65,47,41,40,48,51,54,34,23,44,49
1990-04-17,30,43,48,58,66,44,44,54,48,65,47,41,40,48,51,54,34,23,47,49
1990-04-18,30,43,48,58,67,44,44,55,48,65,47,41,40,48,51,54,34,23,47,49
1990-04-21,30,43,49,58,70,47,44,55,48,68,50,44,40,51,51,57,37,23,48,52
1990-04-28,30,46,49,58,73,47,44,58,48,69,50,44,43,52,54,57,40,23,51,55
1990-04-30,30,46,49,58,73,47,45,58,48,69,50,44,43,52,54,57,40,23,52,55
1990-05-01,30,46,49,58,76,47,45,58,48,69,50,44,43,52,54,57,40,23,52,55
1990-05-02,30,46,49,58,76,47,45,61,51,69,50,47,43,52,54,57,40,23,52,55
1990-05-05,30,46,49,59,79,48,48,62,54,70,50,48,43,53,57,60,43,23,55,55
